Sort Order,One Coventry Plan 2022-30 Vision,One Coventry Plan 2016-24 Vision,One Coventry Plan 2016-24 Priority,Council Plan 2016-24 Metric,Progress towards 2016-24 Plan,Target Status towards 2016-24 Plan,Council Plan 2022-30 Metric,Progress towards 2022-30 Plan,Target,Target Status towards 2022-30 Plan,Metric,Unit,2015/16 end of year metric value,2015/16 end of year metric scope,2015/16 end of year metric date,2016/17 half year metric value,2016/17 half year metric scope,2016/17 half year metric date,2016/17 end of year metric value,2016/17 end of year metric scope,2016/17 end of year metric date,2017/18 half year metric value,2017/18 half year metric scope,2017/18 half year metric date,2017/18 end of year metric value,2017/18 end of year metric scope,2017/18 end of year metric date,2018-19 end of year metric value,2018-19 end of year metric scope,2018-19 end of year metric date,2019-20 end of year metric value,2019-20 end of year metric scope,2019-20 end of year metric date,2020-21 end of year metric value,2020-21 end of year metric scope,2020-21 end of year metric date,2021-22 end of year metric value,2021-22 end of year metric scope,2021-22 end of year metric date,2022-23 end of year metric value,2022-23 end of year metric scope,2022-23 end of year metric date,2016/17 end of year metric comparator metric value,2016/17 end of year metric comparator metric scope,2016/17 end of year metric comparator metric date,2017/18 half year metric comparator metric value,2017/18 half year metric comparator metric scope,2017/18 half year metric comparator metric date,2017/18 end of year metric comparator metric value,2017/18 end of year comparator metric scope,2017/18 end of year metric comparator metric date,2018-19 end of year comparator metric value,2018-19 end of year comparator metric scope,2018-19 end of year comparator metric date,2019-20 end of year comparator metric value,2019-20 end of year comparator metric scope,2019-20 end of year comparator metric date,2020-21 end of year comparator metric value,2020-21 end of year comparator metric scope,2020-21 end of year comparator metric date,2021-22 end of year comparator metric value,2021-22 end of year comparator metric scope,2021-22 end of year comparator metric date,2022-23 end of year comparator metric value,2022-23 end of year comparator metric scope,2022-23 end of year comparator metric date,2016/17 end of year metric national metric value,2016/17 end of year metric national metric scope,2016/17 end of year metric national metric date,2017/18 half year metric national metric value,2017/18 half year metric national metric scope,2017/18 half year metric national metric date,2017/18 end of year metric national metric value,2017/18 end of year metric national metric scope,2017/18 end of year metric national metric date,2018-19 end of year national metric value,2018-19 end of year national metric scope,2018-19 end of year national metric date,2019-20 end of year national metric value,2019-20 end of year national metric scope,2019-20 end of year national metric date,2020-21 end of year national metric value,2020-21 end of year national metric scope,2020-21 end of year national metric date,2021-22 end of year national metric value,2021-22 end of year national metric scope,2021-22 end of year national metric date,2022-23 end of year national metric value,2022-23 end of year national metric scope,2022-23 end of year national metric date
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Other",% difference,,,,,,,11,Coventry,2016,,,,-8,Coventry,2017,0.5,Coventry ,2018,-0.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for boys",% difference,,,,,,,-6,Coventry,2016,,,,-3,Coventry,2017,-2.5,Coventry ,2018,-3.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for eligible for pupil premium",% difference,,,,,,,-1,Coventry,2016,,,,-1,Coventry,2017,-1.7,Coventry ,2018,-0.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for girls",% difference,,,,,,,-4,Coventry,2016,,,,-3,Coventry,2017,-5.2,Coventry ,2018,-1.9,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Irish ",% difference,,,,,,,16,Coventry,2016,,,,5,Coventry,2017,3.5,Coventry ,2018,-3.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Looked After Children",% difference,,,,,,,-20,Coventry,2016,,,,-10,Coventry,2017,-9.2,Coventry ,2018,0,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Roma/Gypsy",% difference,,,,,,,-6,Coventry,2016,,,,-5,Coventry,2017,-4.8,Coventry ,2018,-13.1,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for special educational needs",% difference,,,,,,,-3,Coventry,2016,,,,-2,Coventry,2017,-2.7,Coventry ,2018,-1.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Transient",% difference,,,,,,,,,,,,,,,,-8.5,Coventry ,2018,-2.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Traveller of Irish Heritage",% difference,,,,,,,,,,,,,,,,11.4,Coventry ,2018,-25.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White",% difference,,,,,,,-5,Coventry,2016,,,,-3,Coventry,2017,-4.5,Coventry ,2018,-2.9,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Asian",% difference,,,,,,,-8,Coventry,2016,,,,-9,Coventry,2017,-9.6,Coventry ,2018,-7.2,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black African",% difference,,,,,,,-10,Coventry,2016,,,,9,Coventry,2017,-1.4,Coventry ,2018,-14,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black Caribbean",% difference,,,,,,,-5,Coventry,2016,,,,-8,Coventry,2017,0.6,Coventry ,2018,1.1,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White Boys Pupil Premium",% difference,,,,,,,,,,,,,-1,Coventry,2017,-1.9,Coventry ,2018 revised,-0.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Any other Ethnic Group ",%,,,,,,,,,,,,,,,,50,Coventry ,2018,56.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,Any other Ethnic Group England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for any other mixed ethnicity",%,,,,,,,47,Coventry,2016,,,,60,Coventry,2017,60.3,Coventry ,2018,67.8,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,Any other mixed England,2016,,,,64,Any other mixed England,2017,67.9,Any other mixed England,2018,67.8,Any other mixed England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Any other White",%,,,,,,,,,,,,,,,,59.9,Coventry ,2018,62.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,Any other White England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Bangladeshi",%,,,,,,,57,Coventry,2016,,,,71,Coventry,2017,70.1,Coventry ,2018,57.1,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Asian Bangladeshi England,2016,,,,64,Asian Bangladeshi England,2017,69,Asian Bangladeshi England,2018,70.2,Asian Bangladeshi England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Chinese",%,,,,,,,50,Coventry,2016,,,,91,Coventry,2017,73.3,Coventry ,2018,66.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,Asian Chinese England,2016,,,,77,Asian Chinese England,2017,81.2,Asian Chinese England,2018,79.9,Asian Chinese England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Indian",%,,,,,,,57,Coventry,2016,,,,72,Coventry,2017,77.6,Coventry ,2018,71.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Asian Indian England,2016,,,,72,Asian Indian England,2017,76.5,Asian Indian England,2018,76.5,Asian Indian England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Pakistani",%,,,,,,,49,Coventry,2016,,,,51,Coventry,2017,64.3,Coventry ,2018,58.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Asian Pakistani England,2016,,,,56,Asian Pakistani England,2017,61.1,Asian Pakistani England,2018,62.4,Asian Pakistani England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Black African",%,,,,,,,48,Coventry,2016,,,,56,Coventry,2017,60.3,Coventry ,2018,65.2,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Black African England,2016,,,,61,Black African England,2017,65.8,Black African England,2018,67,Black African England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Black Caribbean",%,,,,,,,29,Coventry,2016,,,,31,Coventry,2017,34.2,Coventry ,2018,32.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Black Caribbean England,2016,,,,53,Black Caribbean England,2017,55.3,Black Caribbean England,2018,56.3,Black Caribbean England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Black Other",%,,,,,,,58,Coventry,2016,,,,49,Coventry,2017,67.7,Coventry ,2018,60,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Black Other England,2016,,,,57,Black Other England,2017,61.2,Black Other England,2018,60.4,Black Other England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for boys",%,,,,,,,44,Coventry,2016,,,,54,Coventry,2017,58,Coventry ,2018,56.8,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Boys England,2016,,,,57,Boys England,2017,60.5,Boys England,2018,60.2,Boys England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for pupil premium",%,,,,,,,38,Coventry,2016,,,,46,Coventry,2017,49,Coventry ,2018,51,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Pupil Premium England,2016,,,,47,Pupil Premium England,2017,50.7,Pupil Premium England,2018,51.3,Pupil Premium England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for White boys pupil premium",%,,,,,,,,,,,,,42,Coventry,2017,41.1,Coventry ,2018,42.2,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,White Boys pupil premium England,2018,42.9,White Boys pupil premium England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for girls",%,,,,,,,53,Coventry,2016,,,,62,Coventry,2017,63.2,Coventry ,2018,67.8,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Girls England,2016,,,,65,Girls England,2017,68.4,Girls England,2018,69.7,Girls England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Irish ",%,,,,,,,76,Coventry,2016,,,,73,Coventry,2017,73.3,Coventry ,2018,69.2,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Irish England,2016,,,,68,Irish England,2017,69.8,Irish England,2018,72.6,Irish England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for looked after children",%,,,,,,,33,Coventry,2016,,,,22,Coventry,2017,25.8,Coventry ,2018,36,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Looked After children England,2016,,,,32,Looked After Children England,2017,35,Looked After Children England,2018,36,Looked After Children England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Roma/Gypsy",%,,,,,,,7,Coventry,2016,,,,11,Coventry,2017,12.8,Coventry ,2018,6.1,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Roma Gypsy England,2016,,,,16,Roma Gypsy England,2017,17.6,Roma Gypsy England,2018,19.2,Roma Gypsy England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for special educational needs",%,,,,,,,11,Coventry,2016,,,,16,Coventry,2017,18.6,Coventry ,2018,20.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,SEN England,2016,,,,18,SEN England,2017,21.3,SEN England,2018,22.3,SEN England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Transient",%,,,,,,,,,,,,,,,,38.5,Coventry ,2018,44.5,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Transient England,2018,47.2,Transient England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for Traveller of Irish Heritage",%,,,,,,,,,,,,,,,,33.3,Coventry ,2018,0,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,Traveller of Irish Heritage England,2018,25.6,Traveller of Irish Heritage England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for White",%,,,,,,,49,Coventry,2016,,,,58,Coventry,2017,60,Coventry ,2018,61.9,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,White England,2016,,,,61,White England,2017,64.5,White England,2018,64.8,White England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for White and Asian",%,,,,,,,55,Coventry,2016,,,,60,Coventry,2017,62.5,Coventry ,2018,65.8,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,White and Asian England,2016,,,,69,White and Asian England,2017,72.1,White and Asian England,2018,73,White and Asian England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black African",%,,,,,,,44,Coventry,2016,,,,71,Coventry,2017,63.9,Coventry ,2018,52.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,White and black African England,2016,,,,62,White and black African England,2017,65.3,White and black African England,2018,66.6,White and black African England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black Caribbean",%,,,,,,,42,Coventry,2016,,,,46,Coventry,2017,57.5,Coventry ,2018,59.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,White and black Caribbean England,2016,,,,54,White and black Caribbean England,2017,56.9,White and black Caribbean England,2018,58.5,White and black Caribbean England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Any other mixed ethnicity,average score,,,,,,,49,Coventry,2016,,,,46,Coventry,2017,41.1,Coventry ,2018,43.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Any other mixed England,2016,,,,49,Any other mixed England,2017,49.1,Any other mixed England,2018,49.2,Any other mixed England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Asian Bangladeshi,average score,,,,,,,55,Coventry,2016,,,,50,Coventry,2017,48,Coventry ,2018,50.9,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,Asian Bangladeshi England,2016,,,,50,Asian Bangladeshi England,2017,49.6,Asian Bangladeshi England,2018,50.6,Asian Bangladeshi England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Asian Chinese,average score,,,,,,,59,Coventry,2016,,,,70,Coventry,2017,58.1,Coventry ,2018,70.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,Asian Chinese England,2016,,,,63,Asian Chinese England,2017,64.2,Asian Chinese England,2018,64.3,Asian Chinese England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Asian Indian,average score,,,,,,,55,Coventry,2016,,,,53,Coventry,2017,51.2,Coventry ,2018,53.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Asian Indian England,2016,,,,55,Asian Indian England,2017,56.3,Asian Indian England,2018,57.3,Asian Indian England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Asian Pakistani,average score,,,,,,,49,Coventry,2016,,,,42,Coventry,2017,45.5,Coventry ,2018,47.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Asian Pakistani England,2016,,,,45,Asian Pakistani England,2017,45.7,Asian Pakistani England,2018,46.2,Asian Pakistani England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Black African,average score,,,,,,,48,Coventry,2016,,,,45,Coventry,2017,44.5,Coventry ,2018,43.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Black African England,2016,,,,47,Black African England,2017,47.5,Black African England,2018,47.4,Black African England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Black Caribbean,average score,,,,,,,43,Coventry,2016,,,,40,Coventry,2017,38.9,Coventry ,2018,36.9,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Black Caribbean England,2016,,,,40,Black Caribbean England,2017,39.6,Black Caribbean England,2018,39.4,Black Caribbean England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Black Other,average score,,,,,,,53,Coventry,2016,,,,40,Coventry,2017,43.6,Coventry ,2018,43.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Black Other England,2016,,,,43,Black Other England,2017,43,Black Other England,2018,43,Black Other England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for boys,average score,,,,,,,45,Coventry,2016,,,,40,Coventry,2017,40.7,Coventry ,2018,40.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Boys England,2016,,,,43,Boys England,2017,43.8,Boys England,2018,44,Boys England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for eligible for pupil premium,average score,,,,,,,40,Coventry,2016,,,,35,Coventry,2017,35.7,Coventry ,2018 revised,35.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Pupil Premium England,2016,,,,37,Pupil Premium England,2017,37,Pupil Premium England,2018,36.7,Pupil Premium England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for girls,average score,,,,,,,51,Coventry,2016,,,,46,Coventry,2017,45.9,Coventry ,2018,46.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Girls England,2016,,,,49,Girls England,2017,49.3,Girls England,2018,49.5,Girls England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for Gypsy/Roma,average score,,,,,,,20,Coventry,2016,,,,20,Coventry,2017,15.6,Coventry ,2018,19.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Roma Gypsy England,2016,,,,17,Roma Gypsy England,2017,18.2,Roma Gypsy England,2018,19.1,Roma Gypsy England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for looked after children ,average score,,,,,,,,,,,,,17,Coventry,2017,18.2,Coventry ,2018,19.6,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,LAC England,2017,18.8,LAC England,2018,19,LAC England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for special educational needs,average score,,,,,,,30,Coventry,2016,,,,23,Coventry,2017,25.1,Coventry ,2018,26.5,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,SEN England,2016,,,,27,SEN England,2017,27.2,SEN England,2018,27.6,SEN England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for transient communities,average score,,,,,,,42,Coventry,2016,,,,34,Coventry,2017,31.7,Coventry ,2018,33.5,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Transient England,2016,,,,32,Transient England,2017,32.1,Transient England,2018,31.8,Transient England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for White,average score,,,,,,,47,Coventry,2016,,,,41,Coventry,2017,41.4,Coventry ,2018,41.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,White England,2016,,,,46,White England,2017,46.1,White England,2018,46.2,White England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for White and Asian,average score,,,,,,,46,Coventry,2016,,,,42,Coventry,2017,44,Coventry ,2018,45.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,White and Asian England,2016,,,,52,White and Asian England,2017,52.5,White and Asian England,2018,53.2,White and Asian England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for White and Black African,average score,,,,,,,45,Coventry,2016,,,,46,Coventry,2017,42.1,Coventry ,2018,54.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,White and black African England,2016,,,,47,White and black African England,2017,46.5,White and black African England,2018,47.4,White and black African England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for White and Black Caribbean,average score,,,,,,,42,Coventry,2016,,,,35,Coventry,2017,37.6,Coventry ,2018,35,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,White and black Caribbean England,2016,,,,41,White and black Caribbean England,2017,41.3,White and black Caribbean England,2018,41,White and black Caribbean England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: achieving attainment 8 for white boys eligible for pupil premium,average score,,,,,,,34,Coventry,2016,,,,27,Coventry,2017,28.9,Coventry ,2018,28,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,White Boys Pupil Premium England,2016,,,,32,White Boys Pupil Premium England,2017,31,White Boys Pupil Premium England,2018,30.8,White Boys Pupil Premium England,2019,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for Any other mixed ethnicity,% difference,,,,,,,-3,Coventry,2016,,,,-3,Coventry,2017,-8,Coventry ,2018,-5.9,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for Asian Bangladeshi,% difference,,,,,,,3,Coventry,2016,,,,0,Coventry,2017,-1.6,Coventry ,2018,0.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for Asian Indian,% difference,,,,,,,-2,Coventry,2016,,,,-2,Coventry,2017,-5.1,Coventry ,2018,-3.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for Asian Pakistani,% difference,,,,,,,-1,Coventry,2016,,,,-3,Coventry,2017,-0.2,Coventry ,2018,1.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for Black African,% difference,,,,,,,-2,Coventry,2016,,,,-2,Coventry,2017,-3,Coventry ,2018,-4.1,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for Black Caribbean,% difference,,,,,,,-2,Coventry,2016,,,,0,Coventry,2017,-0.7,Coventry ,2018,-2.5,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for Black other,% difference,,,,,,,6,Coventry,2016,,,,-3,Coventry,2017,0.6,Coventry ,2018,0.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Key stage 4: attainment 8 difference with same group national comparator for boys,% difference,,,,,,,-3,Coventry,2016,,,,-3,Coventry,2017,-3.1,Coventry ,2018,-3.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
