Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2019-20 end of year indicator value,2019-20 end of year indicator scope,2019-20 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2019-20 end of year  comparator indicator scope,2019-20 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,2019-20 end of year national indicator value,2019-20 end of year national indicator scope,2019-20 end of year national indicator date,Target Status,,,,,,,
123,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for boys",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,54,Coventry,2017,58,Coventry ,2018,56.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Boys England,2016,N/A,N/A,N/A,57,Boys England,2017,60.5,Boys England,2018,60.2,Boys England,2019, ,,,,,,,
124,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for girls",%,New Indicator,N/A,N/A,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,62,Coventry,2017,63.2,Coventry ,2018,67.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Girls England,2016,N/A,N/A,N/A,65,Girls England,2017,68.4,Girls England,2018,69.7,Girls England,2019, ,,,,,,,
125,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black African ",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-5.5,Coventry ,2018,-1.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
126,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-13,Coventry,2016,N/A,N/A,N/A,-22,Coventry,2017,-21.1,Coventry ,2018,-23.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
127,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Other",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,0.5,Coventry ,2018,-0.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
128,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Indian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,1.1,Coventry ,2018,-4.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
129,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Pakistani",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,2,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,3.2,Coventry ,2018,-3.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
130,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Bangladeshi",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,7,Coventry,2017,1.1,Coventry ,2018,-13.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
131,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Chinese",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-19,Coventry,2016,N/A,N/A,N/A,14,Coventry,2017,-7.9,Coventry ,2018,-13.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
132,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-4.5,Coventry ,2018,-2.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
133,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black African",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-10,Coventry,2016,N/A,N/A,N/A,9,Coventry,2017,-1.4,Coventry ,2018,-14,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
134,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,0.6,Coventry ,2018,1.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
135,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Asian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-8,Coventry,2016,N/A,N/A,N/A,-9,Coventry,2017,-9.6,Coventry ,2018,-7.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
136,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Any other mixed ethnicity",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-9,Coventry,2016,N/A,N/A,N/A,-4,Coventry,2017,-7.6,Coventry ,2018,0,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
137,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Roma/Gypsy",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-4.8,Coventry ,2018,-13.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
138,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Irish ",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,16,Coventry,2016,N/A,N/A,N/A,5,Coventry,2017,3.5,Coventry ,2018,-3.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
139,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Traveller of Irish Heritage",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.4,Coventry ,2018,-25.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
140,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for any other White",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.1,Coventry ,2018,-0.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
141,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for any other Ethnic Group",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-10.4,Coventry ,2018,-5,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
142,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Transient",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.5,Coventry ,2018,-2.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
143,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for eligible for pupil premium",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-1,Coventry,2017,-1.7,Coventry ,2018,-0.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
144,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White Boys Pupil Premium",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2017,-1.9,Coventry ,2018 revised,-0.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
145,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Looked After Children",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-20,Coventry,2016,N/A,N/A,N/A,-10,Coventry,2017,-9.2,Coventry ,2018,0,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
146,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for special educational needs",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,-2.7,Coventry ,2018,-1.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
147,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for boys",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-2.5,Coventry ,2018,-3.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
148,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for girls",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-5.2,Coventry ,2018,-1.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
149,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black African,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,45,Coventry,2017,44.5,Coventry ,2018,43.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Black African England,2016,N/A,N/A,N/A,47,Black African England,2017,47.5,Black African England,2018,47.4,Black African England,2019, ,,,,,,,
150,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black Caribbean,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,43,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,38.9,Coventry ,2018,36.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,Black Caribbean England,2016,N/A,N/A,N/A,40,Black Caribbean England,2017,39.6,Black Caribbean England,2018,39.4,Black Caribbean England,2019, ,,,,,,,
151,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black Other,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,43.6,Coventry ,2018,43.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Black Other England,2016,N/A,N/A,N/A,43,Black Other England,2017,43,Black Other England,2018,43,Black Other England,2019, ,,,,,,,
152,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Indian,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,53,Coventry,2017,51.2,Coventry ,2018,53.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Asian Indian England,2016,N/A,N/A,N/A,55,Asian Indian England,2017,56.3,Asian Indian England,2018,57.3,Asian Indian England,2019, ,,,,,,,
153,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Pakistani,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,42,Coventry,2017,45.5,Coventry ,2018,47.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Asian Pakistani England,2016,N/A,N/A,N/A,45,Asian Pakistani England,2017,45.7,Asian Pakistani England,2018,46.2,Asian Pakistani England,2019, ,,,,,,,
154,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Bangladeshi,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,50,Coventry,2017,48,Coventry ,2018,50.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,Asian Bangladeshi England,2016,N/A,N/A,N/A,50,Asian Bangladeshi England,2017,49.6,Asian Bangladeshi England,2018,50.6,Asian Bangladeshi England,2019, ,,,,,,,
155,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Chinese,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,59,Coventry,2016,N/A,N/A,N/A,70,Coventry,2017,58.1,Coventry ,2018,70.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,Asian Chinese England,2016,N/A,N/A,N/A,63,Asian Chinese England,2017,64.2,Asian Chinese England,2018,64.3,Asian Chinese England,2019, ,,,,,,,
156,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,41,Coventry,2017,41.4,Coventry ,2018,41.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,White England,2016,N/A,N/A,N/A,46,White England,2017,46.1,White England,2018,46.2,White England,2019, ,,,,,,,
157,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Black African,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,45,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,42.1,Coventry ,2018,54.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,White and black African England,2016,N/A,N/A,N/A,47,White and black African England,2017,46.5,White and black African England,2018,47.4,White and black African England,2019, ,,,,,,,
158,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Black Caribbean,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,35,Coventry,2017,37.6,Coventry ,2018,35,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,White and black Caribbean England,2016,N/A,N/A,N/A,41,White and black Caribbean England,2017,41.3,White and black Caribbean England,2018,41,White and black Caribbean England,2019, ,,,,,,,
159,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Asian,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,46,Coventry,2016,N/A,N/A,N/A,42,Coventry,2017,44,Coventry ,2018,45.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White and Asian England,2016,N/A,N/A,N/A,52,White and Asian England,2017,52.5,White and Asian England,2018,53.2,White and Asian England,2019, ,,,,,,,
160,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Any other mixed ethnicity,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,41.1,Coventry ,2018,43.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,Any other mixed England,2016,N/A,N/A,N/A,49,Any other mixed England,2017,49.1,Any other mixed England,2018,49.2,Any other mixed England,2019, ,,,,,,,
161,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Gypsy/Roma,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,20,Coventry,2016,N/A,N/A,N/A,20,Coventry,2017,15.6,Coventry ,2018,19.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Roma Gypsy England,2016,N/A,N/A,N/A,17,Roma Gypsy England,2017,18.2,Roma Gypsy England,2018,19.1,Roma Gypsy England,2019, ,,,,,,,
162,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for transient communities,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,34,Coventry,2017,31.7,Coventry ,2018,33.5,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,Transient England,2016,N/A,N/A,N/A,32,Transient England,2017,32.1,Transient England,2018,31.8,Transient England,2019, ,,,,,,,
163,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for eligible for pupil premium,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,40,Coventry,2016,N/A,N/A,N/A,35,Coventry,2017,35.7,Coventry ,2018 revised,35.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,Pupil Premium England,2016,N/A,N/A,N/A,37,Pupil Premium England,2017,37,Pupil Premium England,2018,36.7,Pupil Premium England,2019, ,,,,,,,
164,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for white boys eligible for pupil premium,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,34,Coventry,2016,N/A,N/A,N/A,27,Coventry,2017,28.9,Coventry ,2018,28,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,White Boys Pupil Premium England,2016,N/A,N/A,N/A,32,White Boys Pupil Premium England,2017,31,White Boys Pupil Premium England,2018,30.8,White Boys Pupil Premium England,2019, ,,,,,,,
165,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for special educational needs,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,30,Coventry,2016,N/A,N/A,N/A,23,Coventry,2017,25.1,Coventry ,2018,26.5,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,SEN England,2016,N/A,N/A,N/A,27,SEN England,2017,27.2,SEN England,2018,27.6,SEN England,2019, ,,,,,,,
