Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2019-20 end of year indicator value,2019-20 end of year indicator scope,2019-20 end of year indicator date,2020-21 end of year indicator value,2020-21 end of year indicator scope,2020-21 end of year indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2019-20 end of year  comparator indicator scope,2019-20 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2020-21 end of year  comparator indicator scope,2020-21 end of year comparator indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,2019-20 end of year national indicator value,2019-20 end of year national indicator scope,2019-20 end of year national indicator date,2020-21 end of year national indicator value,2020-21 end of year national indicator scope,2020-21 end of year national indicator date,Target Status,Coventry2030,,,,,
110,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,57.5,Coventry ,2018,59.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,White and black Caribbean England,2016,N/A,N/A,N/A,54,White and black Caribbean England,2017,56.9,White and black Caribbean England,2018,58.5,White and black Caribbean England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
111,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Asian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,62.5,Coventry ,2018,65.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,White and Asian England,2016,N/A,N/A,N/A,69,White and Asian England,2017,72.1,White and Asian England,2018,73,White and Asian England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
112,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for any other mixed ethnicity",%,New Indicator,N/A,N/A,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,60.3,Coventry ,2018,67.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,Any other mixed England,2016,N/A,N/A,N/A,64,Any other mixed England,2017,67.9,Any other mixed England,2018,67.8,Any other mixed England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
113,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Roma/Gypsy",%,New Indicator,N/A,N/A,N/A,N/A,N/A,7,Coventry,2016,N/A,N/A,N/A,11,Coventry,2017,12.8,Coventry ,2018,6.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,Roma Gypsy England,2016,N/A,N/A,N/A,16,Roma Gypsy England,2017,17.6,Roma Gypsy England,2018,19.2,Roma Gypsy England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
114,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Irish ",%,New Indicator,N/A,N/A,N/A,N/A,N/A,76,Coventry,2016,N/A,N/A,N/A,73,Coventry,2017,73.3,Coventry ,2018,69.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,Irish England,2016,N/A,N/A,N/A,68,Irish England,2017,69.8,Irish England,2018,72.6,Irish England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
115,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Traveller of Irish Heritage",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.3,Coventry ,2018,0,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.9,Traveller of Irish Heritage England,2018,25.6,Traveller of Irish Heritage England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
116,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Any other White",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.9,Coventry ,2018,62.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.7,Any other Whie England,2019,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
117,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Any other Ethnic Group ",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Coventry ,2018,56.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.3,Any other Ethnic Group England,2019,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
118,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Transient",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.5,Coventry ,2018,44.5,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Transient England,2018,47.2,Transient England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
119,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for pupil premium",%,New Indicator,N/A,N/A,N/A,N/A,N/A,38,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,49,Coventry ,2018,51,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,Pupil Premium England,2016,N/A,N/A,N/A,47,Pupil Premium England,2017,50.7,Pupil Premium England,2018,51.3,Pupil Premium England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
120,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for White boys pupil premium",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Coventry,2017,41.1,Coventry ,2018,42.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,White Boys pupil premium England,2018,42.9,White Boys pupil premium England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
121,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for looked after children",%,New Indicator,N/A,N/A,N/A,N/A,N/A,33,Coventry,2016,N/A,N/A,N/A,22,Coventry,2017,25.8,Coventry ,2018,36,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Looked After children England,2016,N/A,N/A,N/A,32,Looked After Children England,2017,35,Looked After Children England,2018,36,Looked After Children England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
122,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for special educational needs",%,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,16,Coventry,2017,18.6,Coventry ,2018,20.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,SEN England,2016,N/A,N/A,N/A,18,SEN England,2017,21.3,SEN England,2018,22.3,SEN England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
123,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for boys",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,54,Coventry,2017,58,Coventry ,2018,56.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Boys England,2016,N/A,N/A,N/A,57,Boys England,2017,60.5,Boys England,2018,60.2,Boys England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
124,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for girls",%,New Indicator,N/A,N/A,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,62,Coventry,2017,63.2,Coventry ,2018,67.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Girls England,2016,N/A,N/A,N/A,65,Girls England,2017,68.4,Girls England,2018,69.7,Girls England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
125,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black African ",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-5.5,Coventry ,2018,-1.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
126,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-13,Coventry,2016,N/A,N/A,N/A,-22,Coventry,2017,-21.1,Coventry ,2018,-23.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
127,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Other",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,0.5,Coventry ,2018,-0.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
128,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Indian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,1.1,Coventry ,2018,-4.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
129,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Pakistani",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,2,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,3.2,Coventry ,2018,-3.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
130,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Bangladeshi",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,7,Coventry,2017,1.1,Coventry ,2018,-13.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
131,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Chinese",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-19,Coventry,2016,N/A,N/A,N/A,14,Coventry,2017,-7.9,Coventry ,2018,-13.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
132,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-4.5,Coventry ,2018,-2.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
133,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black African",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-10,Coventry,2016,N/A,N/A,N/A,9,Coventry,2017,-1.4,Coventry ,2018,-14,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
134,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,0.6,Coventry ,2018,1.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
135,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Asian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-8,Coventry,2016,N/A,N/A,N/A,-9,Coventry,2017,-9.6,Coventry ,2018,-7.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
136,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Any other mixed ethnicity",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-9,Coventry,2016,N/A,N/A,N/A,-4,Coventry,2017,-7.6,Coventry ,2018,0,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
137,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Roma/Gypsy",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-4.8,Coventry ,2018,-13.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
138,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Irish ",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,16,Coventry,2016,N/A,N/A,N/A,5,Coventry,2017,3.5,Coventry ,2018,-3.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
139,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Traveller of Irish Heritage",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.4,Coventry ,2018,-25.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
140,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for any other White",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.1,Coventry ,2018,-0.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
141,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for any other Ethnic Group",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-10.4,Coventry ,2018,-5,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
142,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Transient",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.5,Coventry ,2018,-2.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
143,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for eligible for pupil premium",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-1,Coventry,2017,-1.7,Coventry ,2018,-0.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
144,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White Boys Pupil Premium",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2017,-1.9,Coventry ,2018 revised,-0.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
145,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Looked After Children",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-20,Coventry,2016,N/A,N/A,N/A,-10,Coventry,2017,-9.2,Coventry ,2018,0,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
146,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for special educational needs",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,-2.7,Coventry ,2018,-1.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
147,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for boys",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-2.5,Coventry ,2018,-3.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
