Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,Directionality,Progress,Target,Target Status, 
141,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for boys",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-2.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
142,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for girls",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-5.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
143,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black African,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,45,Coventry,2017,44.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Black African England,2016,N/A,N/A,N/A,47,Black African England,2017,47.5,Black African England,2018,High is good, , , , 
144,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black Caribbean,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,43,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,38.9,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,Black Caribbean England,2016,N/A,N/A,N/A,40,Black Caribbean England,2017,39.6,Black Caribbean England,2018,High is good, , , , 
145,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black Other,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,43.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Black Other England,2016,N/A,N/A,N/A,43,Black Other England,2017,43.0,Black Other England,2018,High is good, , , , 
146,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Indian,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,53,Coventry,2017,51.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Asian Indian England,2016,N/A,N/A,N/A,55,Asian Indian England,2017,56.3,Asian Indian England,2018,High is good, , , , 
147,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Pakistani,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,42,Coventry,2017,45.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Asian Pakistani England,2016,N/A,N/A,N/A,45,Asian Pakistani England,2017,45.7,Asian Pakistani England,2018,High is good, , , , 
148,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Bangladeshi,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,50,Coventry,2017,48.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,Asian Bangladeshi England,2016,N/A,N/A,N/A,50,Asian Bangladeshi England,2017,49.6,Asian Bangladeshi England,2018,High is good, , , , 
149,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Chinese,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,59,Coventry,2016,N/A,N/A,N/A,70,Coventry,2017,58.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,Asian Chinese England,2016,N/A,N/A,N/A,63,Asian Chinese England,2017,64.2,Asian Chinese England,2018,High is good, , , , 
150,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,41,Coventry,2017,41.4,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,White England,2016,N/A,N/A,N/A,46,White England,2017,46.1,White England,2018,High is good, , , , 
151,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Black African,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,45,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,42.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,White and black African England,2016,N/A,N/A,N/A,47,White and black African England,2017,46.5,White and black African England,2018,High is good, , , , 
152,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Black Caribbean,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,35,Coventry,2017,37.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,White and black Caribbean England,2016,N/A,N/A,N/A,41,White and black Caribbean England,2017,41.3,White and black Caribbean England,2018,High is good, , , , 
153,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Asian,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,46,Coventry,2016,N/A,N/A,N/A,42,Coventry,2017,44.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White and Asian England,2016,N/A,N/A,N/A,52,White and Asian England,2017,52.5,White and Asian England,2018,High is good, , , , 
154,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Any other mixed ethnicity,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,41.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,Any other mixed England,2016,N/A,N/A,N/A,49,Any other mixed England,2017,49.1,Any other mixed England,2018,High is good, , , , 
155,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Gypsy/Roma,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,20,Coventry,2016,N/A,N/A,N/A,20,Coventry,2017,15.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Roma Gypsy England,2016,N/A,N/A,N/A,17,Roma Gypsy England,2017,18.2,Roma Gypsy England,2018,High is good, , , , 
156,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for transient communities,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,34,Coventry,2017,31.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,Transient England,2016,N/A,N/A,N/A,32,Transient England,2017,32.1,Transient England,2018,High is good, , , , 
157,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for eligible for pupil premium,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,40,Coventry,2016,N/A,N/A,N/A,35,Coventry,2017,37.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,Pupil Premium England,2016,N/A,N/A,N/A,37,Pupil Premium England,2017,37,Pupil Premium England,2018,High is good, , , , 
158,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for white boys eligible for pupil premium,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,34,Coventry,2016,N/A,N/A,N/A,27,Coventry,2017,28.9,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,White Boys Pupil Premium England,2016,N/A,N/A,N/A,32,White Boys Pupil Premium England,2017,31,White Boys Pupil Premium England,2018,High is good, , , , 
159,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for special educational needs,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,30,Coventry,2016,N/A,N/A,N/A,23,Coventry,2017,25.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,SEN England,2016,N/A,N/A,N/A,27,SEN England,2017,27.2,SEN England,2018,High is good, , , , 
160,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for looked after children ,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,Coventry,2017,18.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,LAC England,2017,18.8,LAC England,2018,High is good, , , , 
161,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for boys,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,45,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,40.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,Boys England,2016,N/A,N/A,N/A,43,Boys England,2017,43.8,Boys England,2018,High is good, , , , 
162,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for girls,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,51,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,45.9,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,Girls England,2016,N/A,N/A,N/A,49,Girls England,2017,49.3,Girls England,2018,High is good, , , , 
163,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Black African,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,-3.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
164,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Black Caribbean,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,-0.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
165,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Black other,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,6,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,0.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
166,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Asian Indian,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,-5.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
167,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Asian Pakistani,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-0.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
168,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Asian Bangladeshi,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,-1.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
169,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Chinese,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,7,Coventry,2017,-6.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
170,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-4.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
171,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White and Black African,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-1,Coventry,2017,-4.4,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
172,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White and Black Caribbean,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,-6,Coventry,2017,-3.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
173,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White and Asian,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-8,Coventry,2016,N/A,N/A,N/A,-10,Coventry,2017,-8.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
174,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Any other mixed ethnicity,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-8.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
175,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Gypsy/Roma,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,0,Coventry,2016,N/A,N/A,N/A,3,Coventry,2017,-2.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
176,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for transient communities,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,6,Coventry,2016,N/A,N/A,N/A,2,Coventry,2017,-0.4,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
177,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for eligible for pupil premium,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,0.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
178,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for white boys eligible for pupil premium,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-2.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
179,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for special educational needs,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-4,Coventry,2017,-2.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
180,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for looked after children,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2017,-0.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
181,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for boys,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-3.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
182,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for girls,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-3.4,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
183,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions resulting from self-harm and abuse (rate),"rate per 100,000 population",551.9,Coventry,2014/15,N/A,N/A,N/A,525.2,Coventry,2015/16,N/A,N/A,N/A,434.7,Coventry,2016/17 revised,387.8,Coventry ,2017/18,N/A,N/A,N/A,442.6,WMR,2015/16 revised,N/A,N/A,N/A,412.50,WMR,2016/17 revised,388.7,WMR,2017/18,N/A,N/A,N/A,442.6,England,2015/16 REVISED,N/A,N/A,N/A,407.1,England,2016/17 revised,421.2,England,2017/18,Low is good, , , , 
184,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions resulting from self-harm and abuse (number),number,404,Coventry,2014/15,N/A,N/A,N/A,389,Coventry,2015/16,N/A,N/A,N/A,343,Coventry,2016/17,311,Coventry ,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good, , , , 
185,Locally committed,Make communities safer,,FALSE,Domestic violence offences known to the police involving children,%,38,Coventry,2015/16,38,Coventry,Apr-Sep 2016/17,45,Coventry,2016/17 revised,35.5,Coventry,Apr-Sep 2017/18,35.3,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
186,Locally committed,Make communities safer,,FALSE,Domestic violence offences known to the police (females),number,N/A,N/A,N/A,N/A,N/A,N/A,2484,Coventry,2016/17,2461,Coventry,Apr-Sep 2017/18,4758,Coventry,2017/18 revised,5299,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
187,Locally committed,Make communities safer,,FALSE,Domestic violence offences known to the police (males),number,N/A,N/A,N/A,N/A,N/A,N/A,447,Coventry,2016/17,496,Coventry,Apr-Sep 2017/18,956,Coventry,2017/18 revised,1255,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
188,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees (number of contracts),number,5331,Coventry,Mar-16,5262,Coventry,Oct-16,5144,Coventry,Mar-17,4624,Coventry,Sep-17,4446,Coventry,Mar-18,4590,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
189,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who have declared a disability (%),%,5.4,Coventry,Mar-16,5.3,Coventry,Oct-16,5.2,Coventry,Mar-17,5.1,Coventry,Sep-17,5.4,Coventry,Mar-18,5.4,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
190,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who have declared a disability (number),number,288,Coventry,Mar-16,278,Coventry,Oct-16,268,Coventry,Mar-17,237,Coventry,Sep-17,241,Coventry,Mar-18,249,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
191,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who are female (%),%,69.5,Coventry,Mar-16,69.18,Coventry,Oct-16,69.4,Coventry,Mar-17,67.9,Coventry,Sep-17,67.9,Coventry,Mar-18,67.7,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
