Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year indicator comparator indicator scope,2017/18 end of year indicator comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,Directionality,Progress,Target,Target Status,LGInformPlus Metric ID,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator forfor Black African,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Black Caribbean,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Black other,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,6,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Asian Indian,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Asian Pakistani,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Asian Bangladeshi,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Chinese,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,7,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White and Black African,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-1,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White and Black Caribbean,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,-6,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for White and Asian,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-8,Coventry,2016,N/A,N/A,N/A,-10,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Any other mixed ethnicity,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for Gypsy/Roma,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,0,Coventry,2016,N/A,N/A,N/A,3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for transient communities,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,6,Coventry,2016,N/A,N/A,N/A,2,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for eligible for pupil premium,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for white boys eligible for pupil premium,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for special educational needs,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-4,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for looked after children,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for boys,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: attainment 8 difference with same group national comparator for girls,% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions resulting from self-harm and abuse (rate),"rate per 100,000 population",551.9,Coventry,2014/15,N/A,N/A,N/A,525.2,Coventry,2015/16,N/A,N/A,N/A,438.5,Coventry,2016/17,N/A,N/A,N/A,443.3,WMR,2015/16,N/A,N/A,N/A,413.9,WMR,2016/17,N/A,N/A,N/A,430.5,England,2015/16,N/A,N/A,N/A,404.6,England,2016/17,Low is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions resulting from self-harm and abuse (number),number,404,Coventry,2014/15,N/A,N/A,N/A,389,Coventry,2015/16,N/A,N/A,N/A,343,Coventry,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Domestic violence offences known to the police involving children,%,38,Coventry,2015/16,38,Coventry,Apr-Sep 2016/17,45,Coventry,2016/17 revised,35.5,Coventry,Apr-Sep 2017/18,35.3,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Domestic violence offences known to the police (females),number,N/A,N/A,N/A,N/A,N/A,N/A,2484,Coventry,2016/17,2461,Coventry,Apr-Sep 2017/18,4828,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Domestic violence offences known to the police (males),number,N/A,N/A,N/A,N/A,N/A,N/A,447,Coventry,2016/17,496,Coventry,Apr-Sep 2017/18,969,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees (number of contracts),number,5331,Coventry,Mar-16,5262,Coventry,Oct-16,5144,Coventry,Mar-17,4624,Coventry,Sep-17,4446,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who have declared a disability (%),%,5.4,Coventry,Mar-16,5.3,Coventry,Oct-16,5.2,Coventry,Mar-17,5.1,Coventry,Sep-17,5.4,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who have declared a disability (number),number,288,Coventry,Mar-16,278,Coventry,Oct-16,268,Coventry,Mar-17,237,Coventry,Sep-17,241,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who are female (%),%,69.5,Coventry,Mar-16,69.18,Coventry,Oct-16,69.4,Coventry,Mar-17,67.9,Coventry,Sep-17,67.9,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who are female (number),number,3705,Coventry,Mar-16,3640,Coventry,Oct-16,3571,Coventry,Mar-17,3140,Coventry,Sep-17,3021,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council senior managers (above Grade 10) who are female (%),%,53.23,Coventry,Mar-16,56.59,Coventry,Oct-16,56.6,Coventry,Mar-17,56.1,Coventry,Sep-17,49.3,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council senior managers (above Grade 10) who are female (number),number,66,Coventry,Mar-16,73,Coventry,Oct-16,69,Coventry,Mar-17,64,Coventry,Sep-17,37,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who are from BME communities (%),%,16.11,Coventry,Mar-16,15.77,Coventry,Oct-16,15.4,Coventry,Mar-17,14.7,Coventry,Sep-17,15,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,Council employees who are from BME communities (number),number,859,Coventry,Mar-16,830,Coventry,Oct-16,794,Coventry,Mar-17,680,Coventry,Sep-17,667,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,BME representation at senior management (above Grade 10) (%),%,8.9,Coventry,Mar-16,7.75,Coventry,Oct-16,7.4,Coventry,Mar-17,7.02,Coventry,Sep-17,6.7,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivering our priorities with fewer resources,Making the most of our assets,,FALSE,BME representation at senior management (above Grade 10) (number),number,9,Coventry,Mar-16,10,Coventry,Oct-16,9,Coventry,Mar-17,8,Coventry,Sep-17,5,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
